Team Name,Year,Wins,Losses,OT Losses,Win %,GF,GA,Diff,Team_Code,Wins_Scaled,GF_Scaled,GA_Scaled
New Jersey Devils,1992,40,37,,0.476,308,299,9,12,0.4178744676533033,0.5471738473812711,0.39723703410554545
New York Islanders,1992,40,37,,0.476,335,297,38,13,0.4178744676533033,1.2388261825542257,0.34422497439395133
New York Rangers,1992,34,39,,0.405,304,308,-4,14,-0.2327951186580689,0.4447068347630556,0.6357913028077189
Ottawa Senators,1992,10,70,,0.119,202,395,-193,15,-2.8354734639035577,-2.1682019870014395,2.9418159002620623
Philadelphia Flyers,1992,36,37,,0.429,319,319,0,16,-0.01590525655427816,0.8289581320813637,0.9273576312214864
Pittsburgh Penguins,1992,56,21,,0.667,367,268,99,17,2.152993364483629,2.0585622834999495,-0.4244498914241631
Quebec Nordiques,1992,47,27,,0.56,351,300,51,18,1.176988985016571,1.6486942330270877,0.4237430639613425
San Jose Sharks,1992,11,71,,0.131,218,414,-196,19,-2.727028532851662,-1.7583339365285775,3.4454304675222063
St. Louis Blues,1992,37,36,,0.44,282,278,4,20,0.0925396744976172,-0.11886173463712962,-0.15938959286619261
Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87,21,-1.425689360228918,-1.0666816013556228,1.271936019346848
Toronto Maple Leafs,1992,44,29,,0.524,288,241,47,22,0.8516541918608848,0.03483878429019362,-1.1401126975306834
Vancouver Canucks,1992,46,29,,0.548,346,278,68,23,1.0685440539646756,1.5206104672543184,-0.15938959286619261
Washington Capitals,1992,43,34,,0.512,325,286,39,24,0.7432092608089894,0.9826586510086869,0.05265864598018379
Winnipeg Jets,1992,40,37,,0.476,322,320,2,25,0.4178744676533033,0.9058083915450253,0.9538636610772835
Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22,9,-0.34124004970996424,-1.4765496518284849,-0.8750523989727129
Boston Bruins,1993,42,29,,0.5,289,252,37,0,0.6347643297570941,0.06045553744474749,-0.8485463691169159
Buffalo Sabres,1993,43,32,,0.512,282,218,64,1,0.7432092608089894,-0.11886173463712962,-1.7497513842140155
Calgary Flames,1993,42,29,,0.5,302,256,46,2,0.6347643297570941,0.39347332845394783,-0.7425222496937277
Chicago Blackhawks,1993,39,36,,0.464,254,240,14,3,0.30942953660140793,-0.836130822964638,-1.1666187273864805
Dallas Stars,1993,42,29,,0.5,286,265,21,4,0.6347643297570941,-0.016394722018914128,-0.5039679809915543
Detroit Red Wings,1993,46,30,,0.548,356,275,81,5,1.0685440539646756,1.776777998799857,-0.23890768243358376
Edmonton Oilers,1993,25,45,,0.298,261,305,-44,6,-1.208799498125127,-0.6568135508827609,0.5562732132403277
